boro_cd,raw_count,unique_location_count,capped_count,mean_complaints_per_loc,max_complaints_single_loc,repeat_share,gini_coefficient,pct_locs_for_half_complaints,population,raw_rate_per_1k_pop,unique_loc_rate_per_1k_pop,capped_rate_per_1k_pop
210,18068,3267,13630,5.530456075910621,660,0.8191830861191056,0.6805,0.0545,129124.0,46.64250384643186,8.433753601189553,35.18581621800233
211,25003,2934,16734,8.521813224267213,873,0.8826540815102187,0.7389,0.0487,117283.0,71.0617338687903,8.338804430309594,47.560174961418106
212,166097,4319,20320,38.4572817781894,107800,0.973997122163555,0.95,0.0002,161037.0,343.8071167909652,8.939974457215836,42.06072724487747
301,59847,7270,42053,8.232049518569463,1237,0.8785235684328371,0.7063,0.0558,201535.0,98.98528791525045,12.024379553592842,69.55450252644287
302,37104,4405,23097,8.423155505107832,2853,0.88127964639931,0.7374,0.0347,126308.0,97.91937169458784,11.62502243193886,60.95417550748962
303,49260,6117,33588,8.052967140755273,1018,0.875822168087698,0.7123,0.049,182441.0,90.00169917946076,11.176215872528653,61.367784653668856
304,45565,4886,32485,9.325624232501024,859,0.892768572369143,0.6911,0.0663,115024.0,132.04490657022302,14.159363842908148,94.13977372838133
305,41321,5680,28347,7.274823943661972,788,0.8625396287601945,0.7185,0.0454,205303.0,67.08945639696773,9.222141582603923,46.024656239801665
306,26058,4625,18936,5.634162162162162,1908,0.8225113208995318,0.6818,0.048,120661.0,71.986806010227,12.776843111416836,52.311848898981445
307,19105,3475,15074,5.497841726618705,747,0.8181104422925936,0.6604,0.0659,122767.0,51.873331867141275,9.435217390123839,40.92847969459763
308,35751,3507,22181,10.194183062446536,2287,0.9019048418226063,0.7353,0.0433,110281.0,108.06031864056365,10.600194049745651,67.04388486381758
309,28547,2566,16608,11.125097427903352,1529,0.9101131467404631,0.7564,0.0394,99978.0,95.17760573992945,8.555215480739095,55.372181880013606
310,16029,3036,12424,5.279644268774703,417,0.8105932996443945,0.6763,0.0573,127569.0,41.88321614185264,7.932961769708942,32.46347728157572
311,18927,3563,13440,5.312096547852933,703,0.8117504094679558,0.6993,0.0413,188487.0,33.47180442152509,6.301053476720765,23.7682174367463
312,16636,2979,11466,5.584424303457536,873,0.8209305121423419,0.7048,0.0376,192058.0,28.87322232520037,5.170313134573931,19.900238469628963
313,15355,1887,10262,8.137254901960784,966,0.8771084337349397,0.7335,0.0461,110299.0,46.404168064382574,5.702680894659063,31.012671616847538
314,31907,3260,20487,9.787423312883435,642,0.8978280628075344,0.7423,0.0494,164539.0,64.63918382065448,6.604310629496148,41.503837995855086
315,18699,3499,12910,5.344098313803944,800,0.8128776939943312,0.7086,0.0363,157254.0,39.63651163086472,7.416875458387915,27.365493617544438
316,20100,2575,13803,7.805825242718447,625,0.8718905472636815,0.7205,0.0489,94660.0,70.77963236847664,9.067539967603352,48.605535601098666
317,29444,3884,20335,7.580844490216272,565,0.8680885749218856,0.721,0.0484,158546.0,61.90422127752618,8.16587404706941,42.753102149113396
318,18905,4663,15567,4.054256916148402,377,0.7533456757471568,0.6342,0.0643,200230.0,31.472140371905642,7.76273951622301,25.915197522848725
401,46434,5316,29316,8.734762979683973,1166,0.8855149244088384,0.7386,0.0391,171270.0,90.37192736614702,10.34623693583231,57.056110235300984
402,23288,2933,16713,7.939993181043301,713,0.874055307454483,0.7105,0.058,124372.0,62.414905820173885,7.8608261237792,44.7930402341363
403,30252,3401,20367,8.895030873272567,602,0.8875776808144916,0.7198,0.0515,161901.0,62.28497662151562,7.002221522205957,41.9330331498879
404,29074,2618,16793,11.105423987776929,1812,0.9099539107106005,0.7602,0.0359,175166.0,55.32656641890169,4.981940939832311,31.95635378250726
