boro_cd,yellow_trips,green_trips,fhvhv_trips,taxi_trips_night,rideshare_trips_night,total_ride_trips_night,population,taxi_pickups_night_per_1k,rideshare_pickups_night_per_1k,total_ride_pickups_night_per_1k,rideshare_to_taxi_ratio
304,3479.0,783.0,1088819.0,4262.0,1088819.0,1093081.0,115024.0,49.40418231557472,12621.354384012613,12670.758566328186,255.4713749413421
305,1888.0,465.0,698034.0,2353.0,698034.0,700387.0,205303.0,15.281478270328897,4533.3580123037655,4548.639490574094,296.65703357416066
306,5836.0,1018.0,626543.0,6854.0,626543.0,633397.0,120661.0,75.73836340380625,6923.452206319081,6999.190569722888,91.41275167785236
307,825.0,172.0,295637.0,997.0,295637.0,296634.0,122767.0,10.828099842248596,3210.8194112967385,3221.647511138987,296.52657973921765
308,2931.0,730.0,723827.0,3661.0,723827.0,727488.0,110281.0,44.26268653107365,8751.304999652402,8795.567686183476,197.71291996722206
309,1553.0,442.0,423554.0,1995.0,423554.0,425549.0,99978.0,26.6058532877233,5648.629365126994,5675.235218414718,212.3077694235589
310,726.0,132.0,209502.0,858.0,209502.0,210360.0,127569.0,8.967695913584022,2189.6855819203724,2198.6532778339565,244.17482517482517
311,491.0,131.0,198115.0,622.0,198115.0,198737.0,188487.0,4.399949775492916,1401.4405944883908,1405.8405442638839,318.5128617363344
312,443.0,62.0,200013.0,505.0,200013.0,200518.0,192058.0,3.5058853749041092,1388.5597059221693,1392.0655912970733,396.0653465346535
313,619.0,445.0,171021.0,1064.0,171021.0,172085.0,110299.0,12.862008419538407,2067.362351426577,2080.224359846115,160.73402255639098
314,1019.0,284.0,366584.0,1303.0,366584.0,367887.0,164539.0,10.558793558568688,2970.5946108014923,2981.153404360061,281.3384497313891
315,518.0,526.0,251446.0,1044.0,251446.0,252490.0,157254.0,8.851921095806784,2131.9733255327897,2140.8252466285967,240.84865900383141
316,1113.0,323.0,434744.0,1436.0,434744.0,436180.0,94660.0,20.226776533558702,6123.586168040003,6143.812944573562,302.7465181058496
317,1146.0,412.0,515536.0,1558.0,515536.0,517094.0,158546.0,13.102401406111372,4335.532484788852,4348.634886194964,330.89602053915274
318,1649.0,490.0,519307.0,2139.0,519307.0,521446.0,200230.0,14.243619837187236,3458.069886297425,3472.3135061346125,242.7802711547452
401,12858.0,3710.0,899590.0,16568.0,899590.0,916158.0,171270.0,128.9815301375995,7003.28915357817,7132.27068371577,54.296837276677934
402,10899.0,3200.0,748885.0,14099.0,748885.0,762984.0,124372.0,151.14870442436134,8028.441557049283,8179.590261473643,53.11617845237251
403,16712.0,3755.0,498863.0,20467.0,498863.0,519330.0,161901.0,168.555681146709,4108.3789888059155,4276.934669952625,24.374016709825572
