,boro_cd,depression,has_ac,heavy_drinking,obesity,poor_health,psych_distress,smoking
34,311,13.788324376527319,169956.78078862064,14713.812527046372,38116.65097616662,153373.58601345235,9452.521901881892,18581.25148588972
35,312,10.087636132804217,193542.8143941,8630.578687269532,38448.43048653203,174168.26817011405,8704.462949815625,10556.694424723437
36,313,13.28584391524305,202243.96424780105,12454.820426273138,50635.53872118059,175984.93105821768,15921.685105324088,30882.527657986135
37,314,10.39571719748291,210388.78813819893,10136.73647666345,62166.33633765986,199051.02115278778,10705.11095431453,14978.594306507019
38,315,12.595887415189297,216986.10153758762,10998.867235543845,55042.411220530106,187042.26068827987,17984.85823642703,33960.348013591094
39,316,11.994397573075702,220010.8867849809,30454.181830483918,70605.5479629521,224929.90704215548,13867.40261049134,30628.562527296293
40,317,11.138322499665609,212384.98156897092,13550.675555010124,76501.67487562675,210002.09497203247,12071.659282944249,19544.657530647986
41,318,11.00439129365849,143734.00384238252,5763.53742769098,56766.06963179596,144317.07200015523,8682.772319909554,13443.10039027949
42,401,15.261539731340106,186946.91720028696,17867.375537824264,44737.38870821281,179079.5416624627,8676.393010806933,9970.8209675792
43,402,14.035096559559971,218242.3636526076,16387.185502917204,56155.9975489244,211855.17814969042,8253.481572262059,11239.555283213822
44,403,10.4,311000.0,12000.0,90000.0,309000.0,7000.0,15000.0
45,404,10.421259921420598,310247.2124280245,11992.355281442571,89710.84659886472,308106.21242989495,6993.437281587282,15027.743881638184
46,405,14.339859876613634,225434.52216131546,10406.218945544193,63155.91514131155,204609.57683928608,6212.646607290725,21297.349258431055
47,406,15.391860465374553,203367.08882725702,9986.535640767746,55977.09794836129,177818.27633076205,5993.468786585065,22704.40694201428
48,407,12.170978464766517,183915.2531299833,7613.774400501223,31897.678686641746,165364.39328932067,5668.926293334786,12742.867933420886
49,408,18.585332930978772,159857.4678979147,6806.024052225284,35140.54791147385,150997.7479809488,4919.3336604702645,5656.598556416749
50,409,12.848723009094973,198880.1984166053,9978.094055358268,60051.762879500675,190826.05065673834,11946.401130893748,21950.58955536278
51,410,12.962039092477573,199295.84733385043,9983.111548910589,60361.68616097514,191363.81473146167,11987.571378422037,21747.992111556225
52,411,12.517735182183577,146508.43059002745,6799.844769487397,24653.042367922095,136314.6271437347,810.2292337295787,3956.4610965010643
53,412,17.361040161882837,211408.24493172116,1302.8435919036529,71253.61412014885,205373.85660856136,11513.142394660501,13740.256533817093
54,413,4.354703863582515,154508.1900141434,34.73036217279969,60491.411048042966,164412.5479395414,3484.5518309708345,8308.974730351634
55,414,12.2,74000.0,2999.9999999999995,23999.999999999996,79000.0,5000.0,7000.0
56,501,12.08369848117135,144041.07526226316,10528.080644669737,53408.21505245264,127953.06182148485,3304.9207360835844,20440.067203891445
57,502,8.438662776187964,192440.58993033972,14158.04424477548,63088.117986067955,175747.5825562105,3478.528643534252,23465.036870646232
58,503,10.399342400319558,216999.99999999997,16000.0,68000.0,200000.0,4999.671200159779,25000.0
