,boro_cd,ahv_total_permits,ahv_permits_per_year,ahv_nighttime_permits,ahv_nighttime_share,ahv_weekend_permits,ahv_weekend_share,ahv_near_residence_pct,ahv_open_air_pct,ahv_demolition_pct,ahv_crane_pct,ahv_median_duration_hours,ahv_mean_duration_hours,ahv_top_reason,ahv_top_reason_pct,ahv_permits_2021,ahv_permits_2022,ahv_permits_2023,population,ahv_rate_per_1k_pop
39,316,885,295.0,46,0.0519774011299435,631,0.7129943502824859,0.9853107344632769,0.7898305084745763,0.3807909604519774,0.01807909604519774,8.5,7.055084745762712,City Construction Project,0.6440677966101694,37,425,423,94660.0,3.1164166490597927
40,317,608,202.66666666666666,12,0.019736842105263157,220,0.3618421052631579,0.9161184210526315,0.7072368421052632,0.23519736842105263,0.008223684210526315,5.983333333333333,6.947752192982456,City Construction Project,0.5904605263157895,61,167,380,158546.0,1.2782830640108653
41,318,1611,537.0,35,0.021725636250775917,330,0.2048417132216015,0.9658597144630664,0.7939168218497827,0.16263190564866542,0.014276846679081317,6.0,6.9088040554521,City Construction Project,0.7337057728119181,4,640,967,200230.0,2.6819157968336413
42,401,1744,581.3333333333334,137,0.07855504587155963,888,0.5091743119266054,0.9197247706422018,0.5756880733944953,0.1444954128440367,0.016055045871559634,6.983333333333333,7.054969418960245,Construction activities with minimal noise impact,0.5114678899082569,262,731,751,171270.0,3.394250793094724
43,402,3220,1073.3333333333333,60,0.018633540372670808,1654,0.513664596273292,0.8062111801242235,0.6267080745341616,0.1372670807453416,0.03975155279503106,7.0,7.249259834368531,Construction activities with minimal noise impact,0.3704968944099379,577,1699,944,124372.0,8.6300239067743
44,403,365,121.66666666666667,2,0.005479452054794521,294,0.8054794520547945,0.9260273972602739,0.452054794520548,0.29315068493150687,0.01643835616438356,8.0,8.167853881278537,Construction activities with minimal noise impact,0.5561643835616439,61,161,143,161901.0,0.7514880492811451
45,404,716,238.66666666666666,2,0.002793296089385475,281,0.3924581005586592,0.8072625698324022,0.41759776536312854,0.06424581005586592,0.01675977653631285,9.0,8.71231378026071,Construction activities with minimal noise impact,0.5432960893854749,256,310,150,175166.0,1.3625170790374084
46,405,1132,377.3333333333333,115,0.10159010600706714,481,0.4249116607773852,0.5918727915194346,0.6722614840989399,0.12014134275618374,0.25176678445229683,9.0,9.346010011778564,Construction activities with minimal noise impact,0.3869257950530035,209,800,123,184935.0,2.0403565216607635
47,406,1522,507.3333333333333,78,0.051248357424441525,530,0.34822601839684625,0.8055190538764783,0.580814717477004,0.1616294349540079,0.02890932982917214,6.0,7.3228975032851515,City Construction Project,0.5479632063074902,215,881,426,122344.0,4.146777392706903
48,407,2365,788.3333333333334,480,0.2029598308668076,1219,0.5154334038054968,0.5987315010570825,0.4731501057082452,0.20465116279069767,0.0038054968287526427,8.0,8.1654052149401,Construction activities with minimal noise impact,0.3792811839323467,535,1249,581,250032.0,3.152929758324268
49,408,503,167.66666666666666,8,0.015904572564612324,229,0.4552683896620278,0.904572564612326,0.8091451292246521,0.011928429423459244,0.005964214711729622,8.0,7.657587806494367,Public Safety,0.3121272365805169,104,193,206,159983.0,1.0480280196437537
50,409,523,174.33333333333334,48,0.09177820267686425,315,0.6022944550669216,0.6462715105162524,0.8393881453154876,0.08604206500956023,0.022944550669216062,9.0,8.079318036966221,Construction activities with minimal noise impact,0.45124282982791586,34,325,164,150819.0,1.1559109484437196
51,410,536,178.66666666666666,0,0.0,173,0.32276119402985076,0.8544776119402985,0.8078358208955224,0.3358208955223881,0.0,6.0,7.659390547263682,City Construction Project,0.6063432835820896,80,240,216,138303.0,1.2918495380914852
52,411,1086,362.0,1,0.0009208103130755065,694,0.6390423572744015,0.8646408839779005,0.40055248618784534,0.0570902394106814,0.003683241252302026,8.0,8.09415285451197,Construction activities with minimal noise impact,0.6187845303867403,250,574,262,123356.0,2.9345958040143976
53,412,1516,505.3333333333333,59,0.03891820580474934,707,0.4663588390501319,0.8304749340369393,0.6642480211081794,0.07783641160949868,0.00395778364116095,8.0,7.99178759894459,City Construction Project,0.35883905013192613,203,689,624,257420.0,1.9630694325745213
54,413,599,199.66666666666666,5,0.008347245409015025,225,0.3756260434056761,0.9499165275459098,0.8330550918196995,0.09682804674457429,0.00667779632721202,6.016666666666667,6.815164162493045,Construction activities with minimal noise impact,0.41736227045075125,22,278,299,206684.0,0.9660480088766749
55,414,876,292.0,20,0.0228310502283105,466,0.5319634703196348,0.7431506849315068,0.5205479452054795,0.24885844748858446,0.07990867579908675,8.0,9.25886605783866,Construction activities with minimal noise impact,0.4337899543378995,32,504,340,134226.0,2.1754354595979914
56,501,2167,722.3333333333334,180,0.08306414397784956,587,0.2708814028610983,0.8675588371019843,0.7309644670050761,0.5874480849100139,0.05260729118597139,6.0,7.134040916782035,City Construction Project,0.6774342408860176,257,1457,453,182838.0,3.9506740028513403
57,502,1370,456.6666666666667,78,0.05693430656934306,540,0.39416058394160586,0.33284671532846716,0.6233576642335766,0.08759124087591241,0.026277372262773723,8.0,7.900790754257908,Construction activities with minimal noise impact,0.708029197080292,255,908,207,141364.0,3.230431132867397
58,503,982,327.3333333333333,61,0.062118126272912425,398,0.40529531568228105,0.8869653767820774,0.6211812627291242,0.32382892057026474,0.0,6.0,7.648200950441276,City Construction Project,0.594704684317719,157,496,329,168027.0,1.94809961097522
