ntacode,nta_name,borough_code,borough_name,ntatype,ntaabbrev,ntatype_label,is_residential,nta_short
BX1202,Eastchester-Edenwald-Baychester,2,Bronx,0,Estchstr,Residential/Mixed,True,BX-BX1202
BX1203,Wakefield-Woodlawn,2,Bronx,0,Wkfld_Wdln,Residential/Mixed,True,BX-BX1203
BX1271,Woodlawn Cemetery,2,Bronx,7,WdlnCem,Airport,False,BX-BX1271
BX2691,Van Cortlandt Park,2,Bronx,9,VnCrtldtPk,Park/Recreation,False,BX-BX2691
BX2791,Bronx Park,2,Bronx,9,BxPk,Park/Recreation,False,BX-BX2791
BX2891,Pelham Bay Park,2,Bronx,9,PlhmByPk,Park/Recreation,False,BX-BX2891
MN0101,Financial District-Battery Park City,1,Manhattan,0,FiDi,Residential/Mixed,True,MN-MN0101
MN0102,Tribeca-Civic Center,1,Manhattan,0,TriBeCa,Residential/Mixed,True,MN-MN0102
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,1,Manhattan,9,Btry_GvIsl,Park/Recreation,False,MN-MN0191
MN0201,SoHo-Little Italy-Hudson Square,1,Manhattan,0,SoHo,Residential/Mixed,True,MN-MN0201
MN0202,Greenwich Village,1,Manhattan,0,GrnwchVlg,Residential/Mixed,True,MN-MN0202
MN0203,West Village,1,Manhattan,0,WstVlg,Residential/Mixed,True,MN-MN0203
MN0301,Chinatown-Two Bridges,1,Manhattan,0,Chntwn,Residential/Mixed,True,MN-MN0301
MN0302,Lower East Side,1,Manhattan,0,LES,Residential/Mixed,True,MN-MN0302
MN0303,East Village,1,Manhattan,0,EstVlg,Residential/Mixed,True,MN-MN0303
MN0401,Chelsea-Hudson Yards,1,Manhattan,0,Chls_HdsYd,Residential/Mixed,True,MN-MN0401
MN0402,Hell's Kitchen,1,Manhattan,0,HllsKtchn,Residential/Mixed,True,MN-MN0402
MN0501,Midtown South-Flatiron-Union Square,1,Manhattan,0,MdtwnSth,Residential/Mixed,True,MN-MN0501
MN0502,Midtown-Times Square,1,Manhattan,0,Mdtwn_TmSq,Residential/Mixed,True,MN-MN0502
MN0601,Stuyvesant Town-Peter Cooper Village,1,Manhattan,0,StyTwn,Residential/Mixed,True,MN-MN0601
MN0602,Gramercy,1,Manhattan,0,Grmrcy,Residential/Mixed,True,MN-MN0602
MN0603,Murray Hill-Kips Bay,1,Manhattan,0,MryHl_KpBy,Residential/Mixed,True,MN-MN0603
MN0604,East Midtown-Turtle Bay,1,Manhattan,0,EstMdtwn,Residential/Mixed,True,MN-MN0604
MN0661,United Nations,1,Manhattan,6,UN,Industrial/Transportation,False,MN-MN0661
